A|неопределенный артикль
CONSUME|потреблять
CONSUMPTION|потребление, расход
CONTACT|устанавливать связь
CONTAIN|содержать, сдерживать
CONTAINING|Содержащий
CONTAINS|Содержит
CONTEMPORARY|современный
CONTEMPT|презрение (не aversion)
CONTEND|бороться, соперничать *o-
CONTENT|содержание
CONTENTED|Удовлетворенный (не satisfied)
CONTENTS|содержание, содержимое, оглавление
CONTEST|спор, соревнование, спорить
CONTEXT|контекст, ситуация
CONTINENT|континент
CONTINENTAL|континентальный
CONTINUAL|беспрестанный
CONTINUALLY|непрерывно
CONTINUATION|продолжение
CONTINUE|продолжать(ся)
CONTINUED|продолжал (от continue)
CONTINUOUS|непрерывный
CONTRACT|договор, контракт
CONTRADICT|опровергать, противоречить
CONTRARY|противоположный (не opposite)
CONTRAST|противоположность, контраст
CONTRIBUTE|делать вклад, способствовать
CONTRIBUTION|вклад
CONTRIBUTOR|сотрудник
CONTRIVANCE|изобретение, приспособление
CONTRIVED|Изобретенный
CONTROL|контроль, управление
CONVALESCE|выздоравливать
CONVENIENCE|удобство
CONVENIENCES|удобства (от convenience)
CONVENIENT|подходящий, удобный
CONVENTION|собрание, съезд
CONVENTIONAL|обычный, обусловленный
CONVERSATION|разговор, беседа
CONVERSION|превращение, обращение
CONVERT|превращать, обращать, конвертировать
CONVERTED|Преобразованный(конвертированный)
CONVEY|перевозить, передавать, сообщать
CONVEYED|Переданный
CONVICT|признать виновным, осудить
CONVICTION|осуждение, убеждение, убежденность
CONVINCE|убеждать c-
CONVINCED|убежденный
CONVINCING|убедительный
COOK|готовить, повар
COOKED|готовил (от cook)
COOL|прохладный, холодный
COOLER|холоднее (от cool)
COOLING|охлаждение -ing
COOLLY|Прохладно
COOLNESS|прохлада, хладнокровие
COOPERATIVE|кооперативный
COPE|справиться, совладать
COPIES|Копии
COPPER|медь
COPY|копия, копировать
COPYRIGHT|авторское право
CORAL|Коралл
CORD|шнур
CORDIAL|сердечный
CORE|сущность, суть
CORK|поплавок
CORN|кукуруза
CORNER|угол
CORNERS|Углы
CORRECT|исправлять, правильный
CORRECTION|исправление
CORRECTLY|правильно, верно
CORRELATION|Корреляция
CORRESPONDENCE|корреспонденция, переписка
CORRESPONDING|соответственный, соответствующий
CORRIDOR|коридор
CORRUPT|испорченный, развращенный, продажный
CORRUPTION|продажность
COSMETIC|косметический
COST|стоить, стоил
COSTUME|костюм
COSY|уютный
COTTAGE|коттедж
COTTON|хлопок, хлопчатобумажный
COUCH|кушетка
COUGH|кашель
COULD|мог, могли (бы)
COUNCIL|совет, совещание (не counsel)
COUNCILMAN|Член совета
COUNSEL|обсуждение, совет, решение, адвокат
COUNT|считать, принимать во внимание
COUNTENANCE|Самообладание(лицо)
COUNTER|прилавок, противостоять, противиться
COUNTERACT|противодействовать (не contradict)
COUNTLESS|бесчисленный
COUNTRIES|страны (от country)
COUNTRY|страна
COUNTRYSIDE|сельская местность
COUNTY|графство
COUPLE|пара
COURAGE|мужество, смелость
COURAGEOUS|смелый, отважный
COURSE|курс, блюдо
COURT|корт, двор
COURTYARD|двор
COUSIN|двоюродный брат
COUSINS|кузены 
COVE|сооружать
COVER|покрывало, крышка
COVERING|Покрытие
COW|корова
COWARD|трус
COWARDLY|трусливый, малодушный
CRAB|краб
CRACK|попытка, проба, трещина
CRACKER|печенье, хлопушка
CRACKLE|хрустеть, потрескивать
CRADLE|колыбель, убаюкивать
CRAFT|искусство, судно
CRAFTSMAN|ремесленник
CRAM|запихивать, пичкать, учить наспех, натаскивать (к экзаменам) не poke
CRANE|журавль, подъемный кран
CRANNY|скважина, трещина
CRASH|потерпеть крах, потерпеть крушение
CRASHED|Потерпел крах
CRAWFORD|Кравфорд
CRAWL|ползать (не creep)
CRAWLED|Ползал (не от слова creep)
CRAZY|безумный
CREAK|скрип, скрипеть
CREAM|сливки, крем
CREATE|создавать
CREATED|Созданный
CREATING|Создание -ing
CREATION|создание (похоже на creature)
CREATOR|творец, создатель, автор
CREATURE|творение, создание
CREATURES|Существа
CREDENTIALS|верительные грамоты, рекомендация
CREDIT|кредит
CREEP|ползать, выползать
CREEPER|вьющееся растение
CREEPING|Ползающий
CREPT|ползал 
CRESCENT|полумесяц
CREST|гребешок, хохолок, гребень (волны, горы)
CREVICE|трещина, расщелина
CREW|судовая команда, экипаж
CRICKET|крикет (спорт.)
CRIES|Крики
CRIME|преступление, преступность
CRIMINAL|преступник, уголовный
CRIMSON|алый, малиновый (не scarlet)
CRINGE|раболепствовать
CRIPPLE|калечить, уродовать (не destroy, disable)
CRISIS|кризис, перелом (в ходе болезни)
CRISP|хрустящий картофель
CRITICAL|критический
CRITICISM|критика
CRITICIZE|критиковать
CROCODILE|крокодил
CROOK|крюк, крючок, поворот
CROOKED|кривой
CROP|урожай
CROSS|пересекать
CROSSING|переход, пересечение
CROUCH|притаиться
CROUCHED|Присел
CROW|ворона
CROWD|толпа, толпиться
CROWDED|многолюдный
CROWN|корона
CRUDE|сырой, необработанный
CRUEL|жестокий, беспощадный
CRUELTY|жестокость
CRUISE|морское путешествие (c-)
CRUMB|крошка
CRUMBLE|крошить(ся)
CRUSHED|Сокрушенный
CRUST|корка, кора
CRY|кричать, восклицать
CRYING|кричащий (-ing) 
CRYSTAL|хрусталь
CUB|детеныш (зверя)
CUBIC|кубический
CUCKOO|кукушка
CUCUMBER|огурец
CUCUMBERS|огурцы (от cucumber)
CUFF|наручники, лёгкий удар
CULPRIT|обвиняемый, преступник (не accused)
CULTIVATE|обрабатывать
CULTIVATED|Выращенный
CULTIVATION|Культивирование
CUNNING|хитрость, хитрый, коварный -ing
CUP|чашка
CUPBOARD|буфет
CUPS|чашки (от cup)
CURB|сдерживать
CURDLE|свертываться (о молоке)
CURE|лекарство, лечить c-
CURIOSITY|любопытство, редкая вещь
CURIOUS|любознательный
CURIOUSLY|странно (не strangely) 
CURL|виться, завивать(ся); локон, завиток
CURLED|Вился
CURLS|Завитки
CURRANT|коринка, смородина
CURRENT|течение, ток
CURRENTLY|В настоящее время
CURSE|проклятие
CURSOR|Курсор
CURT|краткий, сжатый, грубый
CURTAIN|занавеска, занавес
CURTAINS|занавески 
CURVATURE|Искривление
CURVE|изгиб, гнуть c-
CURVED|Изогнутый
CUSHION|подушка
CUSTOM|обычай
CUSTOMARY|обычный
CUSTOMER|клиент
CUT|разрез, фасон (стрижки волос)
CUTE|изящный, прелестный
CUTTING|сокращение, урезание -ing
CYCLE|цикл, период
CYCLIST|велосипедист
CZAR|Царь c-
DAD|папа, отец
DAGGER|кинжал
DAILY|ежедневно
DAINTY|лакомство, деликатес
DAIRY|молочный магазин
DAISY|маргаритка
DALTON|Далтон
DAM|дамба, плотина
DAMAGE|повреждать, причинять ущерб
DAME|дама, пожилая женщина (не lady)
DAMP|сырой, влажный
DAN|Дэн
DANCE|танцевать
DANCED|танцевал (от dance)
DANCING|танцы -ing
DANDY|нарядный, великолепный
DANGER|опасность
DANGEROUS|опасный
DANGERS|Опасности
DANGLE|качаться, подвешивать
DARCY|Дарси
DARE|сметь, отважиться
DARED|осмелившийся 
DARING|смелость, отвага; смелый, отважный -ing
DARK|темный, печальный
DARKENED|Затемненный *a-
DARKER|Более темный
DARKNESS|темнота, мрак
DARLING|любимый, дорогой
DARN|штопать
DARTED|Брошенный (не dashed)
DARWIN|Дарвин
DASH|оттолкнуть, отбросить
DASHED|брошенный 
DATA|данные, факты
DATABASE|База данных
DATABASES|Базы данных
DATE|дата
DATES|даты (от date)
DAUGHTER|дочь
DAUGHTERS|дочери (от daughter)
DAVID|Дэвид
DAWN|рассвет, светать
DAY|день
DAYBREAK|рассвет
DAYLIGHT|дневной свет
DAYS|дни (от day)
DAYTIME|дневное время
DAZED|ошеломленный
DEAD|мертвый
DEADLOCK|тупик, безвыходное положение
DEADLY|смертельно
DEAF|глухой
DEAL|значительное количество
DEALING|раздачаv -ing
DEAN|декан
DEAR|дорогой
DEAREST|Дорогой (не darling)
DEATH|смерть
DEBATE|дебаты, спор, полемика
DEBRIS|обломки, развалины
DEBT|долг
DEBTS|долги (от debt)
DECAY|гниение, разложение
DECEIVE|обманывать
DECEIVED|обманутый 
DECEMBER|декабрь
DECENCY|приличие, благопристойность
DECENT|приличный, скромный
DECEPTION|обман, хитрость -ion
DECEPTIVE|обманчивый
DECIDE|решать
DECIDED|решил (от decide)
DECIDEDLY|определённо, точно, бесспорно (не doubtless) 
DECIMAL|десятичный, десятичная дробь
DECIPHER|расшифровывать
DECISION|решение
DECISIVE|решающий
DECK|палуба
DECLARATION|декларация
DECLARE|декларировать
DECLARED|Объявленный
DECLINE|опускаться, уменьшаться, убывать
DECLINED|Отклоненный **c-
DECORATE|украшать
DECOY|западня, приманка; заманивать в ловушку d-
DECREASE|уменьшать, уменьшить
DECREE|декрет, указ; издавать декрет; постановлять
DECREPIT|ветхий, дряхлый
DEDICATE|посвящать, посвятить
DEDUCTION|вычитание, вычет, удержание, вывод, заключение (-ion)
DEED|подвиг, дело
DEEP|глубокий
DEEPER|Глубже
DEEPLY|глубоко
DEER|олень, лань
DEFAULT|Неплатеж, невыполнение обязательств
DEFEAT|поражение
DEFEATED|побеждённый 
DEFECT|недостаток, недочет
DEFECTIVE|неисправный, недостаточный, неполноценный, дефективный
DEFENCE|оборона, защита
DEFEND|защищать, оборонять
DEFENDER|защитник, чемпион (не champion)
DEFENSE|оборона 
DEFENSIVE|оборонительный, оборона
DEFIANCE|неповиновение, пренебрежение
DEFIANT|вызывающий, дерзкий
DEFICIENCY|недостаток, дефицит -y
DEFINE|определять, устанавливать
DEFINED|Определенный
DEFINITE|определенный, точный
DEFINITELY|Определенно
DEFINITION|определение
DEFY|действовать наперекор
DEGRADE|понижать, разжаловать
DEGREE|степень, звание
DEITY|божество
DEJECTED|удрученный, угнетенный
DELAY|отсрочка
DELAYED|отложен (от delay)
DELETE|Удалить
DELIBERATE|умышленный, обдуманный
DELIBERATELY|сознательно, обдуманно 
DELICACY|деликатность, тонкость, нежность (красок); хрупкость, болезненность
DELICATE|изящный d-
DELICIOUS|восхитительный, прелестный, вкусный (d-)
DELIGHT|восхищение, восхищаться
DELIGHTED|восхищался (от delight)
DELIGHTFUL|восхитительный (не marvellous)
DELIRIUM|бред
DELIVER|доставлять, передавать
DELIVERANCE|освобождение, избавление
DELIVERED|доставил (от deliver)
DELIVERY|доставка
DELUGE|наводнение, ливень
DELUSION|заблуждение
DELVE|впадина, рытвина
DEMAND|требовать
DEMANDED|требовал (от demand)
DEMOLITION|уничтожение
DEMONSTRATE|демонстрировать
DEMONSTRATION|демонстрация
DEN|берлога, притон
DENE|долина, дюны
DENIAL|отрицание, опровержение
DENIED|Отклоненный
DENOTE|означать, обозначать
DENSE|густой, плотный (не bushy)
DENTIST|зубной врач
DENY|отрицать, отвергать
DEPART|отбывать, уезжать
DEPARTED|Отбыл
DEPARTMENT|отдел
DEPARTMENTS|отделы, отделения (от department)
DEPARTURE|отъезд, отправление
DEPEND|зависеть
DEPENDANT|иждивенец
DEPENDED|Зависел
DEPENDENT|зависимый, зависящий
DEPLORE|сожалеть
DEPLOY|развертывать
DEPLOYMENT|развертывание
DEPOSIT|взнос, вклад, залог, сдавать на хранение
DEPRESSION|уныние, депрессия (эконом.)
DEPRIVE|лишать, отбирать
DEPTH|глубина
DEPTHS|Глубины
DEPUTY|депутат, делегат
DERISIVE|насмешливый, иронический (не ironical)
DERIVED|Полученный
DES|Дес
DESCEND|спускаться
DESCENDANT|потомок
DESCENDED|Спускался
DESCENT|спуск, склон, десант, происхождение
DESCRIBE|описывать
DESCRIPTION|описание
DESERT|пустыня
DESERTED|брошенный, пустынный
DESERTER|дезертир
DESERTS|заслуги
DESERVE|заслуживать
DESERVED|заслуженный 
DESERVES|Заслуживает
DESIGN|проектировать, спроектировать
DESIGNED|предназначенный, намеренный
DESIGNER|конструктор
DESIGNS|Проекты
DESIRABLE|желательный
DESIRE|желание
DESIRED|Желательный
DESK|письменный стол
DESOLATE|покинутый, заброшенный (-e)
DESPAIR|отчаяние
DESPERATE|отчаянный, безнадежный
DESPERATELY|отчаянно 
DESPISE|презирать -e
DESPITE|несмотря на
DESSERT|десерт
DESTINATION|место назначения
DESTITUTE|(сильно) нуждающийся
DESTROY|разрушать, уничтожать
DESTROYED|Разрушенный
DESTROYER|эскадренный миноносец
DESTRUCTION|разрушение
DETACH|отделять, посылать (воен.)
DETACHED|отдельный d-
DETACHMENT|отряд
DETAIL|деталь
DETAILED|детальный, подробный
DETAIN|задерживать, удерживать
DETECT|открывать, обнаруживать d-
DETECTED|Обнаруженный
DETECTION|открытие, обнаружение
DETECTIVE|детектив(ный)
DETECTIVES|Детективы
DETENTION|задержание
DETERMINATION|решимость, определение
DETERMINE|определять, устанавливать, разрешать
DETERMINED|решительный
DETEST|питать отвращение, ненавидеть
DETRIMENTAL|приносящий ущерб (не destructive)
DEVELOP|развивать
DEVELOPED|развил (от develop)
DEVELOPER|развивающийся (о человеке) 
DEVELOPMENT|развитие
DEVICE|прибор, схема, проект, прием, устройство
DEVIL|дьявол, сатана
DEVOTE|посвящать
DEVOTED|преданный
DEVOTION|преданность
DEVOUR|пожирать
DEW|роса
DEXTERITY|проворство, ловкость
DIAGRAM|диаграмма, схема
DIAL|набирать номер
DIALECT|Диалект
DIALOGUE|диалог
DIAMETER|диаметр
DIAMOND|алмаз, бриллиант
DIANA|Диана
DIARY|дневник
DICK|Дик
DICTIONARY|словарь
DICTUM|изречение, поговорка (не byword)
DID|делал, действовал (от do)
DIE|штамповать, чеканить
DIED|умер, умерший (от die)
DIET|диета
DIFFER|различать
DIFFERENCE|разница, различие
DIFFERENCES|Различия
DIFFERENT|другой, отличный от
DIFFERENTLY|По-другому
DIFFERS|Отличается
DIFFICULT|трудный
DIFFICULTY|препятствие, затруднение
DIG|копать
DIGEST|переваривать, усваивать, краткое изложение
DIGESTION|пищеварение
DIGGING|Рытье -ing
DIGNIFIED|достойный
DIGNITY|достоинство
DILIGENCE|прилежание
DIM|тусклый, неясный, слабый (о зрении), туманный, смутный
DIME|дайм (10 центов)
DIMLY|смутно (не vague) 
DIN|шум, долбить
DINE|обедать
DINING|обеденный
DINNER|обед
DIP|погружать
DIPLOMA|диплом, свидетельство
DIPPER|черпак, ковш
DIRECT|прямой, руководить
DIRECTED|Направленный
DIRECTION|направление
DIRECTIONS|Руководства(направления)
DIRECTLY|прямо, немедленно (d-)
DIRECTOR|режиссер
DIRECTORY|справочник
DIRT|грязь
DIRTY|грязный
DISABLE|делать непригодным (не destroy)
DISABLED|искалеченный, выведенный из строя
DISADVANTAGE|неудобство
DISAGREEABLE|неприятный
DISAPPEAR|исчезать, исчезнуть
DISAPPEARANCE|исчезновение 
DISAPPEARED|изчезнувший 
DISAPPEARING|Исчезновение -ing
DISAPPOINT|разочаровывать
DISAPPOINTED|разочарованный (от disappoint)
DISAPPOINTING|печальный, неутешительный -ing
DISAPPOINTMENT|разочарование
DISAPPROVAL|неодобрение
DISARM|обезоруживать, разоружать(ся)
DISARMAMENT|разоружение
DISASTER|бедствие, несчастье
DISASTROUS|бедственный
DISBELIEF|недоверие
DISC|диск
DISCERN|различать, видеть
DISCHARGE|разряжать
DISCIPLINE|дисциплина, обучение
DISCONNECTED|разъединенный
DISCONTENT|недовольство (не unpleasure)
DISCONTENTED|недовольный (не disagreeable)
DISCOURAGE|обескураживать
DISCOVER|открывать, обнаруживать
DISCOVERED|обнаруженный 
DISCOVERY|открытие
DISCREET|осторожный, сдержанный
DISCRETION|свобода действий; свободный выбор
DISCUSS|обсуждать
DISCUSSED|обсуждал (от discuss)
DISCUSSING|обсуждающий, обсуждение (от discuss)
DISCUSSION|беседа
DISDAIN|презирать, пренебрегать; презрение, пренебрежение (не neglect)
DISEASE|болезнь *i-
DISGRACE|позор, немилость
DISGRACEFUL|позорный
DISGUISE|переодеваться, маскироваться, скрывать; маскировка
DISGUISED|замаскированный 
DISGUISES|Маскировки
DISGUST|отвращение, вызывать отвращение
DISH|блюдо
DISHEVELLED|растрепанный, взъерошенный
DISHONEST|нечестный
DISK|Диск
DISLIKE|нелюбовь, неприязнь; не любить
DISMAL|мрачный, унылый (не gloomy, dreary)
DISMAY|ужас d-
DISMISS|увольнять
DISMISSED|уволенный 
DISMOUNT|спешиваться
DISORDER|беспорядок
DISPERSE|рассеиваться
DISPLAY|показ, выставка
DISPLAYED|Показанный
DISPLEASED|недовольный
DISPLEASURE|неудовольствие, недовольство, досада
DISPOSAL|вручение, право распоряжаться
DISPOSE|располагать
DISPOSED|склонный, расположенный, имеющийся под рукой (не inclined) 
DISPOSITION|характер
DISPUTE|диспут, полемика, обсуждать
DISREGARD|пренебрегать, пренебрежение
DISSOLVE|растворять
DISSOLVED|Распущенный
DISTANCE|расстояние
DISTANT|дальний, далекий
DISTINCT|отдельный (не separate, detached)
DISTINCTION|различие
DISTINCTLY|отчетливо
DISTINGUISH|отличать, различать, разделять
DISTINGUISHED|выдающийся, почетный
DISTRACT|отвлекать
DISTRACTED|Отвлеченный
DISTRESS|горе, нужда; огорчать, расстраивать d-
DISTRESSED|Обеспокоенный
DISTRIBUTE|распределять, распространять
DISTRIBUTION|распределение
DISTRICT|район
DISTRUST|недоверие, не доверять
DISTURB|нарушать, беспокоить d-
DISTURBANCE|нарушение
DISTURBED|взбудораженный *i- 
DITCH|канава
DITTY|песенка
DIVE|нырять
DIVED|Нырнул
DIVER|водолаз
DIVERSE|разный, различный (не various)
DIVIDE|делить, отделять
DIVIDED|Разделенный
DIVINE|божественный
DIVING|ныряние
DIVISION|деление
DIZZY|головокружительный
DO|делать, действовать, вспомогательный глагол
DOCK|док, пристань
DOCTOR|доктор, врач
DOCTRINE|Доктрина
DOCUMENT|документ
DOCUMENTATION|Документация
DODGE|уловка, хитрость (не trick)
DOER|исполнитель
DOES|делать, действовать, вспомогательный глагол (от do)
DOG|собака
DOING|делающий (от do)
DOLL|кукла
DOLLAR|доллар
DOLLARS|доллары (от dollar)
DOLLS|Куклы
DOMAIN|Область
DOME|купол
DOMESTIC|домашний, внутренний
DOMESTICATED|Одомашненный
DOMINION|владычество, владение, доминион
DONATION|денежное пожертвование
DONE|сделанный (от do)
DONKEY|осел
DOOM|обрекать
DOOR|дверь
DOORWAY|дверной проем 
DORMITORY|спальня
DOROTHY|Дороти
DOS|ДОС
DOSE|доза, дозировать
DOT|точка
DOTS|Точки
DOUBLE|двойной, на двоих
DOUBLOONS|Дублоны
DOUBLY|вдвое
DOUBT|сомнение, сомневаться
DOUBTED|Подвергнутый сомнению
DOUBTFUL|сомневающийся (полон сомнений)
DOUBTLESS|несомненно
DOUBTS|Сомнения
DOUGH|тесто d-
DOVE|голубь
DOWN|внизу, вниз
DOWNSTAIRS|вниз, внизу, на нижнем этаже
DOWNWARD|вниз, книзу
DOWNY|пушистый
DOZE|дремать
DOZEN|дюжина
DR|Доктор
DRAFT|чертеж, проект
DRAG|тащить d-
DRAGGED|Тянул
DRAGON|дракон 
DRAIN|вытекание
DRAMATIC|драматический
DRANK|(вы)пил (от drink)
DRAUGHT|сквозняк, набросок, черновик
DRAW|рисовать
DRAWER|чертежник
DRAWERS|кальсоны
DRAWING|протаскивание, вытягивание, рисование, чертеж
DRAWN|нарисованный (от draw)
DREAD|страшиться, страх
DREADFUL|ужасный (не terrible, horrible)
DREADFULLY|Ужасно
DREAM|мечтать, видеть сны
DREAMS|мечты 
DREAMT|мечтал (от dream)
DREARY|мрачный, унылый, скучный (не gloomy)
DRESS|платье, одеваться
DRESSED|одетый
DRESSING|приправа
DRESSMAKER|портниха
DREW|рисовал (от draw)
DRIED|сушеный
DRIFT|сносить, плыть по течению
DRILL|дрель, тренировать
DRINK|напиток, пить
DRINKS|напитки (от drink)
DRIP|капать
DRIVE|водить машину, ехать на машине
DRIVER|водитель, шофер
DRIVEWAY|проезд 
DRIVING|езда, вождение, движущий
DROOP|поникать
DROOPING|Свисающий -ing
DROP|капля, падать, ронять
DROPPED|потерянный, пролитый (не spoiled) 
DROPPING|сбрасывающий
DROPS|Снижения(капли)
DROVE|водил машину, ехал на машине (от drive)
DROWN|тонуть, топить(ся), заглушать
DROWSY|сонный, дремлющий (не asleep, sleepy)
DRUG|лекарство, наркотик
DRUGSTORE|аптека d-
DRUM|барабан
DRUNK|выпитый, пьяный (от drink)
DRY|сухой
DUBIOUS|сомнительный
DUCHESS|герцогиня
DUCK|утка
DUCKED|Увернулся
DUCKS|Утки
DUDLEY|Дадли
DUE|должный, обязанный
DUES|сборы, взносы
DUG|сиська, вымя 
DUKE|герцог
DULL|скучный
DULY|должным образом
DUMB|немой, бессловесный, бестолковый (амер.)
DUMMY|манекен, макет
DUMP|разгружать
DUNGEON|Темница
DUPLICATE|дубликат, копия
DURABLE|прочный
DURATION|продолжительность
DURING|во время
DUSK|сумеречный, неясный, сумерки
DUST|пыль, вытирать пыль
DUSTER|тряпка, щетка
DUSTY|пыльный
DUTY|долг, обязанность, пошлина
DWARF|карлик, гном (миф.) (не gnome)
DWELL|жить
DWELLING|жилье -ing
DWIGHT|Дуайт
DYE|красить, краска
DYED|крашенный (от dye)
DYING|погибающий
DYSENTERY|дизентерия
EACH|каждый
EAGER|нетерпеливый
EAGERLY|охотно (не willing)
EAGERNESS|пыл, рвение, желание
EAGLE|орел
EAR|ухо
EARL|граф 
EARLIER|Ранее
EARLIEST|Самый ранний
EARLY|рано
EARN|зарабатывать
EARNEST|серьезный e-
EARNESTLY|Искренне (не sincerely)
EARNESTNESS|Серьезность (не seriousness)
EARTH|земля
EARTHQUAKE|землетрясение
EASE|покой, непринужденность e-
EASEL|мольберт
EASIER|Более легкий
EASILY|легко
EAST|восток, восточный
EASTER|пасха
EASTERN|восточный
EASY|легкий, простой
EAT|есть (принимать пищу)
EATEN|eat (3 форма)
EATER|едок
EATING|прием пищи, еда (-ing)
EBB|отлив, убывать
ECHO|эхо, отголосок
ECONOMICAL|бережливый, экономный
EDGE|край, точить
EDIBLE|съедобный
EDINBURGH|Эдинбург
EDIT|редактировать
EDITION|издание
EDITOR|редактор
EDITORIAL|редакционный, передовая статья (амер.)
EDMUND|Эдмунд
EDUCATED|образованный ed-
EDUCATION|образование
EDUCATIONAL|образовательный, воспитательный
EDWARD|Эдвард
EERIE|Жуткий *e-
EFFECT|действие, влияние
EFFECTED|Произведенный (не produced) *f-
EFFECTIVE|действующий, успешный
EFFECTS|Эффекты
EFFECTUALLY|Целесообразно
EFFICIENCY|эффективность
EFFICIENT|эффективный
EFFORT|усилие, напряжение
EGG|яйцо
EGGS|яйца (от egg)
EGYPT|Египет
EIGHT|восемь
EIGHTEEN|восемнадцать
EIGHTH|восьмой
EIGHTY|восемьдесят
EITHER|или
EL|Эль-
ELABORATE|тщательно разработанный, подробный
ELAPSE|проходить (о времени)
ELASTIC|эластичный, упругий, резинка
ELATED|окрыленный
ELBOW|локоть
ELBOWS|Локти
ELDER|старший
ELDERLY|пожилой
ELDEST|(самый) старший
ELECT|выбирать **e**
ELECTION|избрание, выборы
ELECTRIC|электрический
ELECTRICITY|электричество
ELECTRONIC|электронный
ELEGANT|изящный
ELEMENT|элемент, стихия
ELEMENTARY|элементарный
ELEMENTS|Элементы
ELEPHANT|слон
ELEVATE|поднимать, возвышать
ELEVATED|Поднятый
ELEVATION|Возвышение
ELEVATOR|лифт
ELEVEN|одиннадцать
ELF|Эльф
ELIGIBLE|подходящий (не suitable)
ELIMINATE|исключать, уничтожать, ликвидировать
ELINOR|Элеонор
ELIZA|Элиза
ELIZABETH|Элизабет
ELLIOT|Эллиот
ELOISE|Элоиза
ELONGATED|Удлиненный
ELSE|еще, кроме
ELSEWHERE|В другом месте
ELTON|Эльтон
EMBARK|садиться на корабль
EMBARRASS|смущать
EMBARRASSMENT|Затруднение
EMBEDDED|Вложенный
EMBRACE|обнимать, включать
EMBROIDERY|вышивка
EMERALD|изумруд
EMERGE|появляться, выясняться, возникать (не appear)
EMERGED|Появился
EMERGENCY|крайняя необходимость e-
EMINENT|выдающийся
EMMA|Эмма
EMOTION|возбуждение
EMOTIONAL|эмоциональный
EMOTIONS|Эмоции
EMPEROR|император
EMPHASIS|подчеркивание, ударение, выразительность
EMPIRE|империя, господство
EMPLOY|держать на работе, нанимать
EMPLOYED|Используемый
EMPLOYEE|служащий, работник
EMPLOYER|наниматель
EMPLOYMENT|служба, занятие (не occupation, profession)
EMPTY|пустой
EMULATION|соревнование
ENABLE|давать возможность, делать возможным
ENABLED|Позволил
ENAMEL|эмаль, глазурь
ENCAMPMENT|лагерь
ENCLOSE|окружать
ENCLOSED|Приложенный (не embedded, attached)
ENCOUNTER|встретить, сталкиваться
ENCOURAGE|ободрять, поощрять, подстрекать
ENCOURAGED|Поощренный
ENCOURAGEMENT|ободрение
ENCYCLOPEDIA|энциклопедия
END|конец
ENDANGER|подвергать опасности
ENDEAVOUR|попытка
ENDED|Законченный
ENDING|окончание, завершение -ing
ENDLESS|бесконечный
ENDLESSLY|нескончаемо
ENDURANCE|выносливость, терпение (не tolerance)
ENDURE|Вынести
ENEMIES|Враги
ENEMY|враг, противник
ENERGY|энергия, сила
ENFORCE|принуждать, навязывать, проводить в жизнь
ENGAGE|нанимать, занимать, вовлекать (не employ)
ENGAGED|занятый, помолвленный (от engage)
ENGAGEMENT|занятие *n-
ENGINE|двигатель, мотор, машина
ENGINEDRIVER|машинист
ENGINEER|инженер
ENGINEERING|техника, машиностроение, махинации
ENGLAND|Англия
ENGLISH|английский язык, английский
ENHANCED|Увеличенный
ENHANCEMENTS|Повышения
ENJOY|любить, получать удовольствие
ENJOYED|получил удовольствие (от enjoy)
ENJOYMENT|удовольствие, наслаждение, обладание
ENLARGE|увеличивать, расширять, распространяться **l****
ENLIGHTEN|просвещать
ENORMOUS|громадный, ужасный
ENORMOUSLY|чрезвычайно
ENOUGH|достаточный
ENQUIRED|Спрашивал e-
ENSLAVE|порабощать
ENSUED|Последовал
ENSURE|обеспечивать, гарантировать
ENTANGLED|запутанный
ENTER|входить, поступать (enter)
ENTERED|поступил (от enter)
ENTERING|вступление e-
ENTERPRISE|предприятие, предприимчивость
ENTERPRISING|предприимчивый
ENTERTAIN|развлекать, развлечь
ENTERTAINED|Развлекал
ENTERTAINMENT|развлечение
ENTHUSIASM|энтузиазм, восторг
ENTHUSIASTIC|восторженный
ENTIRE|полный, совершенный
ENTIRELY|совершенно, полностью, исключительно
ENTITLED|Имеющий право
ENTRANCE|вход
ENTREATY|мольба
ENTRY|вход
ENUMERATE|перечислять
ENVELOPE|конверт
ENVIOUS|завистливый (не jealous)
ENVIRONMENT|окружающая среда
ENVY|зависть, завидовать
EPIDEMIC|эпидемический, эпидемия
EPISODE|эпизод
EQUAL|равный
EQUALITY|равенство, равноправие
EQUALLY|поровну, одинаково, в равной степени
EQUATOR|экватор
EQUIPMENT|снаряжение, оборудование
ER|отделение (служба) экстренной медицинской помощи (Emergency Room) 
ERA|эра
ERASE|стирать (резинкой)
ERE|До, перед, прежде чем; скорее чем
ERECT|строить (не build)
ERNEST|Эрнест
ERNIE|Ерни
ERR|Допустить ошибку
ERRAND|поручение
ERRING|грешный, заблудший -ing
ERRONEOUS|ошибочный
ERROR|ошибка
ERRORS|Ошибки
ESCAPE|избежать, избегать
ESCORT|охрана (не guards)
ESPECIALLY|особенно
ESSAY|очерк
ESSENCE|сущность
ESSENTIAL|обязательный, существенный, важный e-
ESTABLISH|учреждать, создавать, утверждать
ESTABLISHED|установленный
ESTABLISHMENT|установление, учреждение, положение
ESTATE|поместье, имущество, сословие
ESTEEM|уважать, почитать, уважение (не regard)
ESTIMATE|оценка, проект, оценивать
ESTIMATED|предполагаемый
ET|И
ETC|И т.д
ETERNAL|вечный (не forever)
ETHEL|Етел
EUGENE|Юджин
EUROPE|Европа
